gold_diff,kill_diff,my_team_tower_fb,my_team_drake_fb,my_team_herald_fb,my_team_win
-1952,-3,1,0,1,False
855,3,1,0,0,False
3360,4,0,1,1,True
-1867,-5,0,0,0,False
-13,0,0,0,0,True
-657,2,1,1,0,True
5074,11,0,1,1,True
833,2,0,1,0,True
-2762,-8,1,0,0,False
2608,7,0,1,0,True
319,-1,0,1,0,True
-715,-2,1,1,1,True
-6069,-11,1,0,0,False
-1665,-7,1,0,0,False
3543,6,0,1,0,True
684,1,1,0,0,False
-143,0,0,0,0,True
557,-1,0,1,0,True
-3098,-3,1,1,0,False
2711,3,0,1,1,True
3991,9,0,0,1,True
2657,5,0,0,0,True
564,-1,1,1,0,True
-119,0,1,0,0,True
516,1,0,1,0,True
276,3,0,1,1,True
1500,0,0,0,1,True
1617,6,1,1,0,True
-133,3,0,1,1,False
-1048,0,0,0,0,False
-1685,-4,1,1,0,False
2838,2,0,1,1,True
-1058,-1,1,1,0,True
1406,1,0,1,0,True
2915,10,0,1,1,False
2645,4,0,1,1,True
-519,-1,1,0,0,False
1356,4,1,1,0,True
-63,1,1,0,0,False
-3001,-5,1,1,1,True
1923,3,0,0,1,True
-2073,-2,1,0,0,False
-3270,-4,1,0,0,False
294,1,0,1,1,True
2230,8,1,0,0,False
-538,-2,1,1,0,True
659,0,1,0,0,False
-1721,-3,1,0,1,True
-275,-2,1,0,0,False
1201,3,0,1,1,True
-4155,-5,1,0,1,False
-1109,-4,0,1,0,True
-1912,-3,1,1,0,False
2145,5,0,0,1,False
-2860,-5,1,0,0,False
-1347,0,1,1,0,False
-177,0,0,1,1,True
-500,0,1,1,0,False
453,3,1,0,0,False
55,1,0,1,0,True
-709,-3,0,1,0,True
1112,1,0,1,1,True
345,3,1,0,0,False
3486,9,0,0,0,True
1036,1,0,1,1,True
4011,6,0,1,1,True
1910,3,0,1,1,True
-2405,-4,1,0,0,False
-2574,-7,0,0,0,True
4392,10,0,0,1,True
2912,2,0,1,0,True
2577,7,0,1,0,True
2301,3,0,0,0,True
734,2,0,0,0,True
1002,1,1,1,1,False
-1762,-5,1,1,0,False
2442,7,1,1,0,True
-3007,-5,1,0,0,True
-3290,-5,1,0,0,False
1407,6,0,0,1,False
-825,-2,1,1,0,False
1765,5,0,1,1,True
1428,4,0,1,1,True
-184,0,1,0,0,False
24,1,1,1,0,False
-83,1,0,0,0,False
1904,5,0,1,1,True
-2851,-7,1,0,0,False
1027,2,0,1,1,True
2196,6,0,1,1,True
2417,6,0,1,0,True
-3739,-5,1,1,0,False
-1789,-4,1,0,0,False
2768,2,0,1,1,True
3068,8,0,0,1,True
1672,3,1,1,0,True
-323,2,0,0,1,True
-404,0,1,1,0,False
1976,3,0,1,1,True
-315,-4,0,0,0,True
651,-2,1,1,0,True
2924,5,0,1,1,True
-1374,-5,1,0,1,False
1792,5,0,1,1,True
-268,-1,0,1,0,False
1653,4,0,1,1,True
613,2,1,1,1,True
-27,1,1,1,0,True
2001,5,1,0,0,True
779,1,0,1,1,True
3333,5,0,0,1,True
-3485,-8,0,1,1,False
-4860,-7,1,0,0,False
1752,4,1,0,0,False
83,-1,0,0,1,True
2747,2,0,1,0,True
4846,8,0,1,1,True
-929,-3,1,1,0,False
-678,0,0,0,1,False
-3010,-5,0,0,0,False
451,4,0,0,1,False
1747,4,0,1,1,True
4608,7,0,1,1,True
-275,-2,0,1,0,False
-489,-2,0,1,0,True
3462,5,1,1,0,True
-520,1,0,1,1,False
164,-2,1,0,1,False
2153,5,0,1,1,True
3270,6,0,1,0,True
-819,-1,1,0,0,True
-3475,-6,1,0,0,False
-4192,-9,1,0,0,True
-270,-1,1,1,1,True
-2191,-3,1,1,1,False
-1151,-2,1,0,1,True
657,0,0,0,0,False
-228,-2,1,1,0,False
-786,-3,0,0,1,False
-2185,-4,1,0,0,False
2071,3,0,1,1,True
-1292,-1,0,1,0,False
2029,2,0,1,1,True
-1015,-1,0,0,0,False
-641,-4,0,0,0,False
5082,8,0,1,0,True
3964,5,0,0,1,True
-2175,-7,0,1,0,True
-2033,-6,1,0,0,False
5536,8,0,1,0,True
-2822,-5,1,0,0,False
3213,8,0,1,0,True
-44,-3,0,0,1,True
1532,5,0,1,0,True
-641,0,1,0,0,True
4852,8,0,1,1,True
850,2,0,0,0,False
-530,0,1,1,0,True
-1093,-5,1,0,0,False
4,-3,0,0,0,True
-3245,-6,1,0,0,False
1383,5,0,0,1,True
533,-1,0,1,1,True
-3208,-7,1,0,0,False
1578,3,0,1,1,True
2380,5,0,1,1,True
-2685,-6,1,0,0,False
-755,-1,1,1,1,True
243,-1,1,0,1,False
362,1,1,1,1,True
-1529,-5,0,0,1,False
1638,3,0,1,1,False
513,2,0,1,1,True
-910,-2,0,0,1,False
2502,4,0,1,1,True
-1635,0,1,0,1,True
250,-2,0,1,1,True
907,2,1,1,1,True
-745,-2,0,1,0,False
-368,0,1,0,1,True
3116,2,0,0,1,True
-1770,-5,0,0,1,False
1603,3,1,0,1,True
-680,-2,0,0,0,False
-626,-2,0,1,0,True
1497,2,0,1,1,True
-623,-3,1,0,1,True
1265,2,0,1,1,True
-1419,-1,1,0,0,True
-241,-1,1,1,0,True
887,2,0,0,1,True
2604,2,0,1,0,True
2404,5,1,0,0,False
1356,4,0,0,1,True
-1375,-4,0,1,1,True
-3950,-5,1,0,0,False
-965,-1,1,0,0,False
-1002,-2,0,0,0,True
1068,1,1,1,0,True
850,2,0,1,1,True
1480,5,0,1,1,True
-369,-3,0,1,0,False
-2621,-6,1,0,0,False
728,4,1,1,0,False
634,1,0,1,1,True
887,0,0,0,0,True
-1861,-4,1,1,1,True
-376,0,1,1,0,False
779,0,0,1,0,True
3835,10,0,1,1,True
3726,6,0,1,0,True
330,-1,1,0,0,True
-1345,-1,1,0,0,False
1224,4,0,1,1,True
784,0,1,0,0,False
1573,2,0,1,1,False
879,2,0,0,1,False
2653,8,0,1,1,True
-1445,-4,1,0,1,True
679,1,0,1,0,True
-753,-1,0,1,0,False
-2023,-6,0,1,1,True
1985,6,0,0,0,True
1890,3,1,1,1,True
58,2,1,0,0,True
1050,2,1,0,0,True
2221,6,1,1,1,True
533,3,1,0,1,False
276,1,1,0,0,False
2039,6,0,0,1,True
-169,-1,0,1,0,True
-344,1,1,1,0,True
-1302,-2,1,1,0,False
-3372,-6,1,0,0,False
-623,-1,0,0,0,False
2112,5,0,1,0,False
-1044,-4,0,1,0,False
-728,-2,0,0,0,True
1572,2,0,1,0,True
3663,9,0,0,1,False
5134,7,0,0,0,True
1515,4,0,1,0,True
764,2,1,0,0,True
66,-3,0,0,0,True
2673,5,0,1,1,True
2243,3,1,1,0,False
134,0,0,0,1,True
-1546,-6,1,1,0,False
2312,3,0,0,1,True
4523,6,0,1,1,True
